jailhouse-brewing-co-hampton,Jailhouse Brewing Co,micro,8 Cherry St,,,Hampton,Georgia,,30228-5575,http://www.jailhousebrewing.com,4047297681,2018-07-24,2018-08-24,United States,-84.282374,33.387534,
jekyll-brewing-alpharetta,Jekyll Brewing,micro,2855 Marconi Dr Ste 350,,,Alpharetta,Georgia,,30005-2051,http://www.jekyllbrewing.com,7705968788,2018-07-24,2018-08-24,United States,-84.2536638,34.0816562,
johnnie-maccracken-s-celtic-firehouse-pub-inc-marietta,"Johnnie MacCracken's Celtic Firehouse Pub, Inc.",brewpub,15 Atlanta Street,,,Marietta,Georgia,,30060-1985,http://www.johnniemaccrackens.com,7705907868,2018-07-24,2018-08-24,United States,-84.5417592,33.9371282,
left-nut-brewing-co-gainesville,Left Nut Brewing Co,micro,2100 Atlanta Rd,,,Gainesville,Georgia,,30504-7168,http://www.leftnutbrewing.com,6788276678,2018-07-24,2018-08-24,United States,-83.84759634,34.25442345,
line-creek-brewing-peachtree-city,Line Creek Brewing,micro,150 Huddleston Rd Ste 300,,,Peachtree City,Georgia,,30269,http://www.linecreekbrewing.com,,2018-07-24,2018-08-11,United States,,,
macon-beer-company-macon,Macon Beer Company,proprietor,345 Oglethorpe St,,,Macon,Georgia,,31201-3274,http://www.maconbeer.com,4782167117,2018-07-24,2018-08-24,United States,-83.630297,32.828235,
mandatory-fun-brewing-marietta,Mandatory Fun Brewing,planning,,,,Marietta,Georgia,,30064,http://www.vikingalchemist.com,9517955337,2018-07-24,2018-08-11,United States,,,
max-lager-s-wood-fired-grill-brewery-atlanta,Max Lager's Wood Fired Grill & Brewery,brewpub,320 Peachtree St NE,,,Atlanta,Georgia,,30308-3210,http://www.maxlagers.com,4045254400,2018-07-24,2018-08-24,United States,-84.38706074,33.76333225,
millercoors-brewing-co-albany-albany,MillerCoors Brewing Co - Albany,large,405 Cordele Rd,,,Albany,Georgia,,31705-2109,,,2018-07-24,2018-08-24,United States,-84.08203126,31.58549343,
monday-night-brewing-atlanta,Monday Night Brewing,micro,670 Trabert Ave NW,,,Atlanta,Georgia,,30318-4230,http://www.mondaynightbrewing.com,4043527703,2018-07-24,2018-08-24,United States,-84.40989212,33.79480405,
monday-night-brewing-garage-atlanta,Monday Night Brewing - Garage,micro,933 Lee St SW,,,Atlanta,Georgia,,30310,,,2018-07-24,2018-08-24,United States,-84.41617724,33.72906429,
monkey-wrench-brewing-company-llc-snellville,Monkey Wrench Brewing Company LLC,planning,,,,Snellville,Georgia,,30078-6503,http://www.monkeywrenchbrewing.com,6785212142,2018-07-24,2018-08-11,United States,,,
moon-river-brewing-co-savannah,Moon River Brewing Co,brewpub,21 W Bay St,,,Savannah,Georgia,,31401-1106,http://www.moonriverbrewing.com,9124470943,2018-07-24,2018-08-24,United States,-81.09178578,32.08098573,
new-realm-brewing-atlanta,New Realm Brewing,brewpub,550 Somerset Ter NE Unit 101,,,Atlanta,Georgia,,30306-4317,http://www.newrealmbrewing.com,4049682778,2018-07-24,2018-08-11,United States,,,
o-dempsey-s-brewing-co-atlanta,O'Dempsey's Brewing Co,contract,"205 Grosvenor Place, Nw",,,Atlanta,Georgia,,30328,http://www.odempseys.com,4048450059,2018-07-24,2018-08-11,United States,,,
ocmulgee-brewpub-macon,Ocmulgee Brewpub,brewpub,484 2nd St,,,Macon,Georgia,,31201-2734,http://www.ocmulgeebrewpub.com,4782542848,2018-07-24,2018-08-24,United States,-83.62932833,32.8360763,
oconee-brewing-company-greensboro,Oconee Brewing Company,micro,202 N West St,,,Greensboro,Georgia,,30642-1124,http://www.oconeebrewingco.com,7069201177,2018-07-24,2018-08-11,United States,,,
omaha-brewing-company-omaha,Omaha Brewing Company,micro,265 Brew St,,,Omaha,Georgia,,31821-2258,http://www.omahabrewingcompany.com,2298384779,2018-07-24,2018-08-11,United States,,,
orpheus-brewing-atlanta,Orpheus Brewing,micro,1440 Dutch Valley Pl NE Ste 2001,,,Atlanta,Georgia,,30324-5366,http://www.orpheusbrewing.com,4043471777,2018-07-24,2018-08-24,United States,-84.36858051,33.79314935,
